x,y
209.02125619493944,196.54521287032046
210.42357620072252,194.2088584739999
214.35900996261665,193.7021160382639
213.79990877010326,192.64936655220293
212.71544505452968,193.15925605647342
215.435286308723,194.94252428905477
214.3867011689518,193.70547806476455
215.28951660811754,193.73066389554938
211.8855512569057,195.40938109050927
211.99002874168048,196.87641567899294
209.88959986502812,196.44596399338832
208.8524741312628,195.28546381185683
208.4059304693578,196.20492552689646
211.73661029252682,195.91364770348693
215.989785668949,196.7511275734476
215.19223102882427,195.55167552252607
218.2812073828033,194.76157922928027
215.09821241857617,193.76430636633341
212.15838062568326,197.323452751917
216.2812660578904,196.87492961280196
212.2039330004849,194.33565700460272
216.73836448272178,194.78590401937183
217.92028831598248,193.36796114873079
219.79324893964377,192.09419435606804
215.031186486571,191.65763515544486
215.45927173165595,194.69677954070062
212.94596517999014,194.25293047155427
213.00596204817984,193.3447115330091
210.8549183586808,194.8324428787881
207.356283032615,194.55474109395385
206.53040585438455,196.16525901173878
208.41992882822947,197.62608256557604
208.974600700346,200.78740735835106
206.40744113848854,199.3465652001743
208.7941458291637,197.8405119208403
209.28927367478818,196.29536297066136
207.83003160081302,197.33213926728575
205.07668448133663,198.09004519473567
203.99887516479748,197.28018411051437
205.16482972401354,198.6415909129753
203.76352394550892,199.19809731623494
203.02303108672604,198.66257796678065
202.4972117655854,200.750469744884
202.06583464804228,198.17255150581323
200.50648641014203,195.99168875060283
200.39710583340243,190.26977366984747
201.43841145817044,188.66677149799193
200.55772584116963,187.71374107542078
201.86994490552442,189.98009434056192
199.91081424929737,192.1603022794836
199.39259663300246,190.0133795334901
196.01649840573177,187.13403073969286
194.59269607014707,185.94367372177982
195.0787542762458,188.35481309919084
195.5245309965185,188.32497011995065
195.2421549104526,190.75452628233714
194.38970111664085,190.82754809455324
196.15313150173645,190.914619547595
196.31944316600843,193.02568407546622
196.57976852845692,196.0637787966171
198.00720968240608,196.77522100552787
195.39360592493802,199.7712091113032
194.33147659921437,199.199141272275
195.5813965961157,197.8453902431917
198.1572738163867,195.74678565504138
198.64481525572725,194.36728239921817
197.1110534892304,194.986436486172
197.39067825422924,196.1261081422455
196.2471492215853,195.05469347189936
197.1099143287357,195.41179762500033
195.82309927824986,195.82628096575522
194.93915137693526,195.7346458273632
196.44324825408373,195.82491558150002
195.834519668337,195.52762425963556
193.25309037656845,194.67443400490336
195.362692393111,194.97106178438577
196.1085841250159,192.65584150192277
198.20477223284954,193.61726390461158
198.22831891444525,196.2403014661381
199.21473511932314,197.98299131177245
198.53632625414681,197.47167809329275
203.30059248977395,195.78673611847003
206.9883543731811,196.32056856014043
207.36797000818822,197.37954137223338
208.36527185922617,199.5042280851729
209.77006373623465,199.22936807754147
212.5413181138504,199.69757865144643
212.01363955697,198.65791831155045
211.75275342013674,198.4450907302853
214.02997456070094,198.95264357627522
215.40948950350307,197.9056890382007
215.80551479791512,198.37479493564558
215.14465453963007,198.84695029676536
214.86981569645533,197.37411511033818
216.53101988632912,198.96917366921997
216.5434073566288,198.3087390389912
213.88653167718118,197.7583559767178
213.41806185493246,200.5417665524446
214.03930408902596,199.35083879863663
215.15414770942854,197.27387358370768
218.0799955197901,199.75816851076604
218.38443199317177,200.64399522063755
216.12371553849476,200.55963716683038
215.42777693114397,202.16063697074344
215.40721719643042,202.7643960248577
215.9541812089394,205.82839128240298
216.21837227190358,206.02479873442363
218.86026486385526,207.26799306673394
218.40265178348477,208.18531294338698
217.45349558020752,207.74469999861157
215.68362299264766,207.0619188572787
215.64383692433924,206.9384320822441
216.96920187696938,207.79410173760806
217.04618542824497,209.12774469195926
217.72565212010647,211.1857778318825
220.2392745605835,211.173542561484
218.4328200431859,212.24380632489704
217.61233738967996,213.45961546234838
217.97650877780083,212.17429167656422
221.21147201217758,211.4761394611098
220.63597837229034,208.252605116191
221.94886224390248,208.54151906424448
223.56774929290918,206.86161801510988
227.55711078458484,207.59585415360974
231.97928053390942,207.03277758697962
232.2259746656409,202.84665566102026
234.08658140923345,204.49890610382946
234.1309502944573,203.69056994950486
231.1668843682647,205.86126831485305
232.62695233976544,203.707247343345
231.73388938791072,202.12357991483762
228.73823856615974,199.61305672512316
228.90637634650133,200.52041632392553
228.73678485499724,201.69925007404763
231.3109332566522,202.39656354885696
232.35125819758,199.0258789585279
230.99477113975874,197.47274188502152
227.96194575279284,198.91215424430075
227.20813995778326,199.2863172839282
225.0139337373594,197.8664912425104
226.16492214588737,200.06346726908356
226.51668819197084,199.06273108003487
228.72072093456464,201.22009401203374
233.17064220506387,198.14010078448
233.8264720023878,199.3855716155667
234.25777322214034,199.597310356076
230.62280953069623,202.72881030724943
230.7959022574394,203.19046734793073
228.77072698019387,203.5778478984347
229.60845869925177,204.2182694402145
228.2664755813748,207.78010193307585
225.20808011640463,210.48218789472566
224.69801549904506,211.46927198954506
225.77402999230833,210.30369369642224
226.73353308189527,209.44160528757192
229.36302949131002,209.4389867205821
229.00070334214956,207.12964879643556
228.97285153194073,205.77952546618204
231.3105751689534,206.62430916989737
233.94552112148529,205.85777517031
232.10114596051724,207.3964389171543
230.39217761958733,209.77634961844097
228.37591194987243,212.23679211119506
230.15753335516516,211.50266339223535
233.24607178005851,212.10293472092482
230.911239948373,211.31657067456263
234.68286688277607,212.19090616418558
235.53114143827165,215.20192605775662
236.12296128146167,215.0764698488902
236.31477601510363,214.56114530658664
235.8840511656229,211.3658545262918
236.06376340824426,209.37051064543311
234.83576052416151,210.72791982456496
234.48922996266558,208.67916743176903
233.20789552836186,207.7004971514036
235.53277525054227,208.78047660022713
233.92719842616032,208.04054556800511
233.28321489333524,209.74511780959378
235.20448664789916,208.45606689173334
231.89143333138304,209.37093879131947
226.4794304146728,209.10791602420738
226.67132122350876,209.3987880495309
227.55667099954067,209.20449993554328
226.9557877283573,209.3650443970176
227.29646718056796,209.6199202465851
225.603350076942,211.54736001264965
225.70333084307637,208.80130298440045
226.17632780118203,207.2383651761173
228.14175222542917,208.40149458416994
228.03334799666,206.9843393138496
229.29865557467707,206.02607745715758
227.4411908436045,205.36339232160196
