-20,648.454
-19.375,728.024
-18.75,197.532
-18.125,136.776
-17.5,345.546
-16.875,285.854
-16.25,397.191
-15.625,652.915
-15,301.989
-14.375,657.544
-13.75,828.272
-13.125,273.149
-12.5,355.806
-11.875,717.901
-11.25,1234.7
-10.625,1260.82
-10,1374.94
-9.375,1865.28
-8.75,1729.91
-8.125,1463.43
-7.5,1865.25
-6.875,1956.79
-6.25,2251.19
-5.625,2403.39
-5,2042.99
-4.375,2891.2
-3.75,2575.76
-3.125,1968.95
-2.5,2651.37
-1.875,2778.25
-1.25,3166.94
-0.625,2133.68
0,2542.52
0.625,2311.63
1.25,3025.77
1.875,2860.44
2.5,2814.12
3.125,3128.78
3.75,2637.96
4.375,2856.21
5,2575.79
5.625,2434.03
6.25,1926.61
6.875,1961.34
7.5,1910.72
8.125,1802
8.75,1490.54
9.375,1430.41
10,963.289
10.625,693.522
11.25,143.687
11.875,608.781
12.5,601.512
13.125,653.096
13.75,256.652
14.375,808.878
15,702.465
15.625,257.392
16.25,447.164
16.875,300.067
17.5,58.7992
18.125,236.897
18.75,232.938
19.375,384.047
